4000,0,0,0,0
0,0,235,168,130
1,0,227,91,6
2,0,143,58,6
3,0,93,47,18
4,0,96,84,73
5,0,126,57,16
6,0,174,69,6
7,0,226,91,10
8,0,227,92,10
9,0,227,92,10
10,0,227,92,10
11,0,227,92,10
12,0,190,77,8
13,0,136,56,7
14,0,98,82,74
15,0,93,54,30
16,0,120,49,6
17,0,224,91,13
18,0,235,148,95
19,0,241,198,171
0,1,227,92,10
1,1,227,92,10
2,1,227,92,10
3,1,230,114,40
4,1,235,204,173
5,1,45,41,35
6,1,89,38,8
7,1,228,91,8
8,1,226,92,9
9,1,226,92,9
10,1,226,92,9
11,1,226,92,9
12,1,132,56,8
13,1,0,0,0
14,1,237,204,169
15,1,229,136,75
16,1,227,92,10
17,1,227,92,10
18,1,227,92,10
19,1,227,104,24
0,2,227,92,10
1,2,227,92,10
2,2,227,92,10
3,2,230,114,40
4,2,235,204,173
5,2,45,41,35
6,2,1,2,3
7,2,5,1,1
8,2,4,0,0
9,2,4,0,0
10,2,4,0,0
11,2,4,1,1
12,2,2,2,3
13,2,0,0,0
14,2,237,204,169
15,2,229,136,75
16,2,227,92,10
17,2,227,92,10
18,2,227,92,10
19,2,230,115,42
0,3,227,92,10
1,3,227,92,10
2,3,227,92,10
3,3,230,114,40
4,3,235,204,173
5,3,45,41,35
6,3,38,33,28
7,3,97,83,72
8,3,133,56,10
9,3,136,55,7
10,3,136,55,7
11,3,97,83,71
12,3,56,49,42
13,3,0,0,0
14,3,237,204,169
15,3,229,136,75
16,3,227,92,10
17,3,227,92,10
18,3,227,92,10
19,3,228,90,9
0,4,227,92,10
1,4,227,92,10
2,4,227,92,10
3,4,230,114,40
4,4,236,204,173
5,4,47,41,36
6,4,96,83,70
7,4,237,204,174
8,4,227,92,10
9,4,227,92,10
10,4,227,92,10
11,4,235,205,173
12,4,141,124,105
13,4,2,0,0
14,4,237,205,169
15,4,229,136,75
16,4,227,92,10
17,4,227,92,10
18,4,227,92,10
19,4,227,92,10
0,5,227,92,10
1,5,227,92,10
2,5,227,92,10
3,5,230,114,40
4,5,236,205,175
5,5,235,206,173
6,5,234,205,173
7,5,237,203,174
8,5,227,92,10
9,5,227,92,10
10,5,227,92,10
11,5,235,205,173
12,5,235,206,173
13,5,235,205,172
14,5,236,205,169
15,5,229,136,75
16,5,227,92,10
17,5,227,92,10
18,5,227,92,10
19,5,227,92,10
0,6,227,92,10
1,6,227,92,10
2,6,227,92,10
3,6,228,100,22
4,6,230,137,76
5,6,230,137,74
6,6,230,137,74
7,6,231,136,76
8,6,227,92,10
9,6,227,92,10
10,6,227,92,10
11,6,230,137,75
12,6,230,137,74
13,6,230,137,74
14,6,230,137,73
15,6,228,109,36
16,6,227,92,10
17,6,227,92,10
18,6,227,92,10
19,6,227,92,10
0,7,227,92,10
1,7,227,92,10
2,7,227,92,10
3,7,227,92,10
4,7,227,92,10
5,7,227,91,9
6,7,227,91,9
7,7,227,91,9
8,7,227,91,9
9,7,227,91,9
10,7,227,91,9
11,7,227,91,9
12,7,227,91,9
13,7,227,91,9
14,7,227,92,10
15,7,227,92,10
16,7,227,92,10
17,7,227,92,10
18,7,227,92,10
19,7,227,91,12
0,8,227,92,10
1,8,227,92,10
2,8,227,92,10
3,8,227,92,10
4,8,227,92,10
5,8,232,160,107
6,8,235,205,171
7,8,235,205,171
8,8,235,205,171
9,8,235,205,171
10,8,235,205,171
11,8,235,205,171
12,8,235,205,171
13,8,234,183,139
14,8,227,92,10
15,8,227,92,10
16,8,227,92,10
17,8,227,92,10
18,8,227,92,10
19,8,230,111,40
0,9,244,187,152
1,9,239,187,154
2,9,242,189,156
3,9,237,177,135
4,9,233,160,105
5,9,234,187,145
6,9,236,206,172
7,9,236,206,172
8,9,236,206,172
9,9,236,206,172
10,9,236,206,172
11,9,236,206,172
12,9,236,206,172
13,9,235,196,158
14,9,232,160,105
15,9,239,176,133
16,9,244,189,154
17,9,240,188,154
18,9,239,189,156
19,9,243,189,155
